TIME,STIMULUS,INSULIN_PER_100_ISLETS,GLUCAGON_PER_100_ISLETS,ISLET_NUMBER,DNA_CONTENT,INSULIN_CONTENT,GLUCAGON_CONTENT,I_AUC(aam),I_AUC(Glu3),I_AUC(G16.7),I_AUC(ibmx),I_AUC(kcl),I_SI(aam),I_SI(Glu3),I_SI(G16.7),I_SI(ibmx),I_SI(kcl),G_AUC(aam),G_AUC(Glu3),G_AUC(G16.7),G_AUC(ibmx),G_AUC(kcl),G_SI(aam),G_SI(Glu3),G_SI(G16.7),G_SI(ibmx),G_SI(kcl),,
20,No stimuli,0.189583,0.965278,1000,6.1,36.8,2280,0.6261054,2.928818,20.070136,18.916668,11.441319,1.424328957,2.569266611,5.369180772,2.131612378,2.619293268,23.1555624,-1.527779,-3.277775,19.92708,11.441319,2.141400781,0.798319369,0.631709348,1.96307317,5.73926691,,
21,No stimuli,0.155556,0.930556,,,,,,,,,,,,,,,,,,,,,,,,,,
22,No stimuli,0.170139,0.982639,,,,,,,,,,,,,,,,,,,,,,,,,,
23,No stimuli,0.177431,0.972222,,,,,,,,,,,,,,,,,,,,,,,,,,
24,No stimuli,0.140972,0.940972,,,,,,,,,,,,,,,,,,,,,,,,,,
25,No stimuli,0.150694,0.986111,,,,,,,,,,,,,,,,,,,,,,,,,,
26,No stimuli,0.155556,1.083333,,,,,,,,,,,,,,,,,,,,,,,,,,
27,No stimuli,0.153125,0.989583,,,,,,,,,,,,,,,,,,,,,,,,,,
28,No stimuli,0.177431,1.065972,,,,,,,,,,,,,,,,,,,,,,,,,,
29,No stimuli,0.182292,0.982639,,,,,,,,,,,,,,,,,,,,,,,,,,
30,Amino acid mixture (4 mM),0.148264,1.072917,,,,,,,,,,,,,,,,,,,,,,,,,,
31,Amino acid mixture (4 mM),0.153125,1.3125,,,,,,,,,,,,,,,,,,,,,,,,,,
32,Amino acid mixture (4 mM),0.150694,1.361111,,,,,,,,,,,,,,,,,,,,,,,,,,
33,Amino acid mixture (4 mM),0.143403,1.215278,,,,,,,,,,,,,,,,,,,,,,,,,,
34,Amino acid mixture (4 mM),0.165278,1.125,,,,,,,,,,,,,,,,,,,,,,,,,,
35,Amino acid mixture (4 mM),0.184722,1.069444,,,,,,,,,,,,,,,,,,,,,,,,,,
36,Amino acid mixture (4 mM),0.233333,1.256944,,,,,,,,,,,,,,,,,,,,,,,,,,
37,Amino acid mixture (4 mM),0.233333,1.6875,,,,,,,,,,,,,,,,,,,,,,,,,,
38,Amino acid mixture (4 mM),0.201736,2.090278,,,,,,,,,,,,,,,,,,,,,,,,,,
39,Amino acid mixture (4 mM),0.199306,2.041667,,,,,,,,,,,,,,,,,,,,,,,,,,
40,Amino acid mixture (4 mM),0.179861,2.013889,,,,,,,,,,,,,,,,,,,,,,,,,,
41,Amino acid mixture (4 mM),0.201736,2.1875,,,,,,,,,,,,,,,,,,,,,,,,,,
42,Amino acid mixture (4 mM),0.189583,1.993056,,,,,,,,,,,,,,,,,,,,,,,,,,
43,Amino acid mixture (4 mM),0.157986,2.048611,,,,,,,,,,,,,,,,,,,,,,,,,,
44,Amino acid mixture (4 mM),0.201736,1.902778,,,,,,,,,,,,,,,,,,,,,,,,,,
45,Amino acid mixture (4 mM),0.199306,1.923611,,,,,,,,,,,,,,,,,,,,,,,,,,
46,Amino acid mixture (4 mM),0.155556,1.847222,,,,,,,,,,,,,,,,,,,,,,,,,,
47,Amino acid mixture (4 mM),0.196875,1.868056,,,,,,,,,,,,,,,,,,,,,,,,,,
48,Amino acid mixture (4 mM),0.150694,2.034722,,,,,,,,,,,,,,,,,,,,,,,,,,
49,Amino acid mixture (4 mM),0.179861,1.868056,,,,,,,,,,,,,,,,,,,,,,,,,,
50,Amino acid mixture (4 mM),0.184722,1.826389,,,,,,,,,,,,,,,,,,,,,,,,,,
51,Amino acid mixture (4 mM),0.196875,1.888889,,,,,,,,,,,,,,,,,,,,,,,,,,
52,Amino acid mixture (4 mM),0.182292,1.944444,,,,,,,,,,,,,,,,,,,,,,,,,,
53,Amino acid mixture (4 mM),0.175,2.090278,,,,,,,,,,,,,,,,,,,,,,,,,,
54,Amino acid mixture (4 mM),0.201736,2.131944,,,,,,,,,,,,,,,,,,,,,,,,,,
55,Amino acid mixture (4 mM),0.172569,1.930556,,,,,,,,,,,,,,,,,,,,,,,,,,
56,Amino acid mixture (4 mM),0.204167,1.763889,,,,,,,,,,,,,,,,,,,,,,,,,,
57,Amino acid mixture (4 mM),0.182292,1.743056,,,,,,,,,,,,,,,,,,,,,,,,,,
58,Amino acid mixture (4 mM),0.184722,1.923611,,,,,,,,,,,,,,,,,,,,,,,,,,
59,Amino acid mixture (4 mM),0.221181,1.784722,,,,,,,,,,,,,,,,,,,,,,,,,,
60,Amino acid mixture (4 mM),0.172569,1.875,,,,,,,,,,,,,,,,,,,,,,,,,,
61,Amino acid mixture (4 mM) + Glucose (3 mM),0.221181,1.888889,,,,,,,,,,,,,,,,,,,,,,,,,,
62,Amino acid mixture (4 mM) + Glucose (3 mM),0.199306,1.965278,,,,,,,,,,,,,,,,,,,,,,,,,,
63,Amino acid mixture (4 mM) + Glucose (3 mM),0.184722,1.770833,,,,,,,,,,,,,,,,,,,,,,,,,,
64,Amino acid mixture (4 mM) + Glucose (3 mM),0.192014,1.958333,,,,,,,,,,,,,,,,,,,,,,,,,,
65,Amino acid mixture (4 mM) + Glucose (3 mM),0.209028,2,,,,,,,,,,,,,,,,,,,,,,,,,,
66,Amino acid mixture (4 mM) + Glucose (3 mM),0.245486,1.930556,,,,,,,,,,,,,,,,,,,,,,,,,,
67,Amino acid mixture (4 mM) + Glucose (3 mM),0.294097,1.798611,,,,,,,,,,,,,,,,,,,,,,,,,,
68,Amino acid mixture (4 mM) + Glucose (3 mM),0.301389,1.819444,,,,,,,,,,,,,,,,,,,,,,,,,,
69,Amino acid mixture (4 mM) + Glucose (3 mM),0.354861,1.645833,,,,,,,,,,,,,,,,,,,,,,,,,,
70,Amino acid mixture (4 mM) + Glucose (3 mM),0.359722,1.652778,,,,,,,,,,,,,,,,,,,,,,,,,,
71,Amino acid mixture (4 mM) + Glucose (3 mM),0.401042,1.694444,,,,,,,,,,,,,,,,,,,,,,,,,,
72,Amino acid mixture (4 mM) + Glucose (3 mM),0.39375,1.590278,,,,,,,,,,,,,,,,,,,,,,,,,,
73,Amino acid mixture (4 mM) + Glucose (3 mM),0.495833,1.576389,,,,,,,,,,,,,,,,,,,,,,,,,,
74,Amino acid mixture (4 mM) + Glucose (3 mM),0.403472,1.513889,,,,,,,,,,,,,,,,,,,,,,,,,,
75,Amino acid mixture (4 mM) + Glucose (3 mM),0.369444,1.618056,,,,,,,,,,,,,,,,,,,,,,,,,,
76,Amino acid mixture (4 mM) + Glucose (3 mM),0.464236,1.555556,,,,,,,,,,,,,,,,,,,,,,,,,,
77,Amino acid mixture (4 mM) + Glucose (3 mM),0.415625,1.451389,,,,,,,,,,,,,,,,,,,,,,,,,,
78,Amino acid mixture (4 mM) + Glucose (3 mM),0.432639,1.701389,,,,,,,,,,,,,,,,,,,,,,,,,,
79,Amino acid mixture (4 mM) + Glucose (3 mM),0.476389,1.569444,,,,,,,,,,,,,,,,,,,,,,,,,,
80,Amino acid mixture (4 mM) + Glucose (3 mM),0.374306,2.131944,,,,,,,,,,,,,,,,,,,,,,,,,,
81,Amino acid mixture (4 mM) + Glucose (16.7 mM),0.452083,1.618056,,,,,,,,,,,,,,,,,,,,,,,,,,
82,Amino acid mixture (4 mM) + Glucose (16.7 mM),0.505208,1.680556,,,,,,,,,,,,,,,,,,,,,,,,,,
83,Amino acid mixture (4 mM) + Glucose (16.7 mM),0.458333,1.715278,,,,,,,,,,,,,,,,,,,,,,,,,,
84,Amino acid mixture (4 mM) + Glucose (16.7 mM),0.557292,1.756944,,,,,,,,,,,,,,,,,,,,,,,,,,
85,Amino acid mixture (4 mM) + Glucose (16.7 mM),0.734375,1.652778,,,,,,,,,,,,,,,,,,,,,,,,,,
86,Amino acid mixture (4 mM) + Glucose (16.7 mM),1.703125,1.444444,,,,,,,,,,,,,,,,,,,,,,,,,,
