TIME,STIMULUS,INSULIN_PER_100_ISLETS,GLUCAGON_PER_100_ISLETS,ISLET_NUMBER,DNA_CONTENT,INSULIN_CONTENT,GLUCAGON_CONTENT,I_AUC(aam),I_AUC(Glu3),I_AUC(G16.7),I_AUC(ibmx),I_AUC(kcl),I_SI(aam),I_SI(Glu3),I_SI(G16.7),I_SI(ibmx),I_SI(kcl),G_AUC(aam),G_AUC(Glu3),G_AUC(G16.7),G_AUC(ibmx),G_AUC(kcl),G_SI(aam),G_SI(Glu3),G_SI(G16.7),G_SI(ibmx),G_SI(kcl)
20,No stimuli,0.023611,3.4,1000,5.93,0.39,,-0.11694,0.006947,0.026388,0.096529,0.01514,2.007728233,1.734683882,1.552778921,1.9192,1.740521327,24.48,2.6,6.1,79.2,47.48,1.780821918,0.671641791,0.666666667,2.80155642,3.771929825
21,No stimuli,0.025,3,,,,,,,,,,,,,,,,,,,,,,,,
22,No stimuli,0.01875,2.8,,,,,,,,,,,,,,,,,,,,,,,,
23,No stimuli,0.017708,4.2,,,,,,,,,,,,,,,,,,,,,,,,
24,No stimuli,0.024306,3.3,,,,,,,,,,,,,,,,,,,,,,,,
25,No stimuli,0.023264,3,,,,,,,,,,,,,,,,,,,,,,,,
26,No stimuli,0.014583,2.3,,,,,,,,,,,,,,,,,,,,,,,,
27,No stimuli,0.013889,2,,,,,,,,,,,,,,,,,,,,,,,,
28,No stimuli,0.019444,3.6,,,,,,,,,,,,,,,,,,,,,,,,
29,No stimuli,0.01875,3.7,,,,,,,,,,,,,,,,,,,,,,,,
30,Amino acid mixture (4 mM),0.020139,2,,,,,,,,,,,,,,,,,,,,,,,,
31,Amino acid mixture (4 mM),0.016319,2,,,,,,,,,,,,,,,,,,,,,,,,
32,Amino acid mixture (4 mM),0.016319,3.8,,,,,,,,,,,,,,,,,,,,,,,,
33,Amino acid mixture (4 mM),0.013889,2.5,,,,,,,,,,,,,,,,,,,,,,,,
34,Amino acid mixture (4 mM),0.024653,2.6,,,,,,,,,,,,,,,,,,,,,,,,
35,Amino acid mixture (4 mM),0.036111,3,,,,,,,,,,,,,,,,,,,,,,,,
36,Amino acid mixture (4 mM),0.028125,2,,,,,,,,,,,,,,,,,,,,,,,,
37,Amino acid mixture (4 mM),0.01875,2.6,,,,,,,,,,,,,,,,,,,,,,,,
38,Amino acid mixture (4 mM),0.013889,4.9,,,,,,,,,,,,,,,,,,,,,,,,
39,Amino acid mixture (4 mM),0.014236,3.4,,,,,,,,,,,,,,,,,,,,,,,,
40,Amino acid mixture (4 mM),0.011111,5.2,,,,,,,,,,,,,,,,,,,,,,,,
41,Amino acid mixture (4 mM),0.014236,4.6,,,,,,,,,,,,,,,,,,,,,,,,
42,Amino acid mixture (4 mM),0.014583,5.2,,,,,,,,,,,,,,,,,,,,,,,,
43,Amino acid mixture (4 mM),0.010417,4.2,,,,,,,,,,,,,,,,,,,,,,,,
44,Amino acid mixture (4 mM),0.008333,4.5,,,,,,,,,,,,,,,,,,,,,,,,
45,Amino acid mixture (4 mM),0.009028,5.2,,,,,,,,,,,,,,,,,,,,,,,,
46,Amino acid mixture (4 mM),0.012153,4.9,,,,,,,,,,,,,,,,,,,,,,,,
47,Amino acid mixture (4 mM),0.009028,3.1,,,,,,,,,,,,,,,,,,,,,,,,
48,Amino acid mixture (4 mM),0.015278,4,,,,,,,,,,,,,,,,,,,,,,,,
49,Amino acid mixture (4 mM),0.014931,4.7,,,,,,,,,,,,,,,,,,,,,,,,
50,Amino acid mixture (4 mM),0.011806,3.4,,,,,,,,,,,,,,,,,,,,,,,,
51,Amino acid mixture (4 mM),0.0125,4.2,,,,,,,,,,,,,,,,,,,,,,,,
52,Amino acid mixture (4 mM),0.010417,3.2,,,,,,,,,,,,,,,,,,,,,,,,
53,Amino acid mixture (4 mM),0.009028,3.2,,,,,,,,,,,,,,,,,,,,,,,,
54,Amino acid mixture (4 mM),0.013889,2.8,,,,,,,,,,,,,,,,,,,,,,,,
55,Amino acid mixture (4 mM),0.010417,3.7,,,,,,,,,,,,,,,,,,,,,,,,
56,Amino acid mixture (4 mM),0.009722,3.9,,,,,,,,,,,,,,,,,,,,,,,,
57,Amino acid mixture (4 mM),0.008333,3.8,,,,,,,,,,,,,,,,,,,,,,,,
58,Amino acid mixture (4 mM),0.010764,4.6,,,,,,,,,,,,,,,,,,,,,,,,
59,Amino acid mixture (4 mM),0.011458,4,,,,,,,,,,,,,,,,,,,,,,,,
60,Amino acid mixture (4 mM),0.010764,3.8,,,,,,,,,,,,,,,,,,,,,,,,
61,Amino acid mixture (4 mM) + Glucose (3 mM),0.013194,3.1,,,,,,,,,,,,,,,,,,,,,,,,
62,Amino acid mixture (4 mM) + Glucose (3 mM),0.009028,3.9,,,,,,,,,,,,,,,,,,,,,,,,
63,Amino acid mixture (4 mM) + Glucose (3 mM),0.008681,4.4,,,,,,,,,,,,,,,,,,,,,,,,
64,Amino acid mixture (4 mM) + Glucose (3 mM),0.010764,4.5,,,,,,,,,,,,,,,,,,,,,,,,
65,Amino acid mixture (4 mM) + Glucose (3 mM),0.010069,5.3,,,,,,,,,,,,,,,,,,,,,,,,
66,Amino acid mixture (4 mM) + Glucose (3 mM),0.017708,2.8,,,,,,,,,,,,,,,,,,,,,,,,
67,Amino acid mixture (4 mM) + Glucose (3 mM),0.013889,2.7,,,,,,,,,,,,,,,,,,,,,,,,
