TIME,STIMULUS,INSULIN_PER_100_ISLETS,GLUCAGON_PER_100_ISLETS,ISLET_NUMBER,DNA_CONTENT,INSULIN_CONTENT,GLUCAGON_CONTENT,I_AUC(aam),I_AUC(Glu3),I_AUC(G16.7),I_AUC(ibmx),I_AUC(kcl),I_SI(aam),I_SI(Glu3),I_SI(G16.7),I_SI(ibmx),I_SI(kcl),G_AUC(aam),G_AUC(Glu3),G_AUC(G16.7),G_AUC(ibmx),G_AUC(kcl),G_SI(aam),G_SI(Glu3),G_SI(G16.7),G_SI(ibmx),G_SI(kcl),,,
20,No stimuli,0.128125,6.7,1000,4.06,0.23,145,-0.6753506,0.215003,0.736803,1.529509,0.5053514,0.915494386,2.793570654,3.577850735,2.918155872,7.151470993,189.54,34,-11,179.2,236.58,3.597560976,0.737179487,0.815450644,2.280701754,3.8671875,,,
21,No stimuli,0.132292,8.9,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,No stimuli,0.113194,6.9,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,No stimuli,0.134375,8,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,No stimuli,0.080208,7.1,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,No stimuli,0.058333,8.1,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,No stimuli,0.05625,6.6,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,No stimuli,0.045486,5.9,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,No stimuli,0.041667,5.8,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,No stimuli,0.044792,6.4,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,Amino acid mixture (4 mM),0.039583,8.5,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,Amino acid mixture (4 mM),0.033333,4.4,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,Amino acid mixture (4 mM),0.030556,4,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,Amino acid mixture (4 mM),0.035764,4.2,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,Amino acid mixture (4 mM),0.035764,5,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,Amino acid mixture (4 mM),0.040972,4,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,Amino acid mixture (4 mM),0.036458,4,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,Amino acid mixture (4 mM),0.045139,4,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,Amino acid mixture (4 mM),0.04375,4,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,Amino acid mixture (4 mM),0.042708,8.2,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,Amino acid mixture (4 mM),0.039583,12.4,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,Amino acid mixture (4 mM),0.033681,13,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,Amino acid mixture (4 mM),0.030903,13.4,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,Amino acid mixture (4 mM),0.030903,14,,,,,,,,,,,,,,,,,,,,,,,,,,,
