TIME,STIMULUS,INSULIN_PER_100_ISLETS,GLUCAGON_PER_100_ISLETS,ISLET_NUMBER,DNA_CONTENT,INSULIN_CONTENT,GLUCAGON_CONTENT,I_AUC(aam),I_AUC(Glu3),I_AUC(G16.7),I_AUC(ibmx),I_AUC(kcl),I_SI(aam),I_SI(Glu3),I_SI(G16.7),I_SI(ibmx),I_SI(kcl),G_AUC(aam),G_AUC(Glu3),G_AUC(G16.7),G_AUC(ibmx),G_AUC(kcl),G_SI(aam),G_SI(Glu3),G_SI(G16.7),G_SI(ibmx),G_SI(kcl),
20,No stimuli,0.318403,2,1000,,9.65,2.607,-2.1743702,2.598266,16.27882,28.624998,6.3895798,2.032314651,2.700349356,7.640515938,3.059771924,9.967522105,179.48,-43,-73.7,109.7,153.92,8.014184397,0.508474576,0.257731959,5.113636364,18.79310345,
21,No stimuli,0.320833,2,,,,,,,,,,,,,,,,,,,,,,,,,
22,No stimuli,0.364583,2,,,,,,,,,,,,,,,,,,,,,,,,,
23,No stimuli,0.328125,2,,,,,,,,,,,,,,,,,,,,,,,,,
24,No stimuli,0.369444,2,,,,,,,,,,,,,,,,,,,,,,,,,
25,No stimuli,0.315972,2,,,,,,,,,,,,,,,,,,,,,,,,,
26,No stimuli,0.284375,4,,,,,,,,,,,,,,,,,,,,,,,,,
27,No stimuli,0.267361,2,,,,,,,,,,,,,,,,,,,,,,,,,
28,No stimuli,0.298958,3.1,,,,,,,,,,,,,,,,,,,,,,,,,
29,No stimuli,0.2625,3,,,,,,,,,,,,,,,,,,,,,,,,,
30,Amino acid mixture (4 mM),0.308681,3.3,,,,,,,,,,,,,,,,,,,,,,,,,
31,Amino acid mixture (4 mM),0.233333,4,,,,,,,,,,,,,,,,,,,,,,,,,
32,Amino acid mixture (4 mM),0.221181,8.4,,,,,,,,,,,,,,,,,,,,,,,,,
33,Amino acid mixture (4 mM),0.561458,22.6,,,,,,,,,,,,,,,,,,,,,,,,,
34,Amino acid mixture (4 mM),0.580903,19.6,,,,,,,,,,,,,,,,,,,,,,,,,
35,Amino acid mixture (4 mM),0.371875,13.6,,,,,,,,,,,,,,,,,,,,,,,,,
36,Amino acid mixture (4 mM),0.335417,8.4,,,,,,,,,,,,,,,,,,,,,,,,,
37,Amino acid mixture (4 mM),0.250347,6.8,,,,,,,,,,,,,,,,,,,,,,,,,
38,Amino acid mixture (4 mM),0.145833,8.6,,,,,,,,,,,,,,,,,,,,,,,,,
39,Amino acid mixture (4 mM),0.143403,6,,,,,,,,,,,,,,,,,,,,,,,,,
40,Amino acid mixture (4 mM),0.226042,5.2,,,,,,,,,,,,,,,,,,,,,,,,,
41,Amino acid mixture (4 mM),0.201736,9.4,,,,,,,,,,,,,,,,,,,,,,,,,
42,Amino acid mixture (4 mM),0.213889,7.6,,,,,,,,,,,,,,,,,,,,,,,,,
43,Amino acid mixture (4 mM),0.194444,6.4,,,,,,,,,,,,,,,,,,,,,,,,,
44,Amino acid mixture (4 mM),0.177431,7.6,,,,,,,,,,,,,,,,,,,,,,,,,
45,Amino acid mixture (4 mM),0.160417,6.2,,,,,,,,,,,,,,,,,,,,,,,,,
46,Amino acid mixture (4 mM),0.175,7.6,,,,,,,,,,,,,,,,,,,,,,,,,
47,Amino acid mixture (4 mM),0.177431,5.6,,,,,,,,,,,,,,,,,,,,,,,,,
48,Amino acid mixture (4 mM),0.206597,7.4,,,,,,,,,,,,,,,,,,,,,,,,,
49,Amino acid mixture (4 mM),0.160417,6.8,,,,,,,,,,,,,,,,,,,,,,,,,
50,Amino acid mixture (4 mM),0.136111,7.6,,,,,,,,,,,,,,,,,,,,,,,,,
51,Amino acid mixture (4 mM),0.148264,9.2,,,,,,,,,,,,,,,,,,,,,,,,,
52,Amino acid mixture (4 mM),0.121528,7.2,,,,,,,,,,,,,,,,,,,,,,,,,
53,Amino acid mixture (4 mM),0.172569,9.8,,,,,,,,,,,,,,,,,,,,,,,,,
