Time (min),Stimulus,"Insulin Release,",Glucagon Release,DNA content,Insulin Content ,Glucagon Content,I_AUC(aam),I_AUC(Glu3),I_AUC(G16.7),I_AUC(ibmx),I_AUC(kcl),I_SI(aam),I_SI(Glu3),I_SI(G16.7),I_SI(ibmx),I_SI(kcl),G_AUC(aam),G_AUC(Glu3),G_AUC(G16.7),G_AUC(ibmx),G_AUC(kcl),G_SI(aam),G_SI(Glu3),G_SI(G16.7),G_SI(ibmx),G_SI(kcl),
,,(ng/100 islets/min),(pg/100 islets/min),(ng/islet),(ng/islet),(pg/islet),,,,,,,,,,,,,,,,,,,,,
20,No Stimuli,0.128819,20,,,,-0.2581268,0.775348,18.620829,49.833331,12.871739,1.800697414,2.196966234,16.58727377,4.180179892,18.57357986,255,-22,-43,638,550.4,3.55,0.684931507,0.840336134,4.083333333,2.22513089,
21,No Stimuli,0.196875,20,,,,,,,,,,,,,,,,,,,,,,,,
22,No Stimuli,0.145833,20,,,,,,,,,,,,,,,,,,,,,,,,
23,No Stimuli,0.136111,20,,,,,,,,,,,,,,,,,,,,,,,,
24,No Stimuli,0.148264,20,,,,,,,,,,,,,,,,,,,,,,,,
25,No Stimuli,0.167708,20,,,,,,,,,,,,,,,,,,,,,,,,
26,No Stimuli,0.13125,20,,,,,,,,,,,,,,,,,,,,,,,,
27,No Stimuli,0.126389,20,,,,,,,,,,,,,,,,,,,,,,,,
28,No Stimuli,0.133681,20,,,,,,,,,,,,,,,,,,,,,,,,
29,No Stimuli,0.136111,20,,,,,,,,,,,,,,,,,,,,,,,,
30,"Amino acid Mixure, 4 mM",0.157986,21,,,,,,,,,,,,,,,,,,,,,,,,
31,"Amino acid Mixure, 4 mM",0.170139,38,,,,,,,,,,,,,,,,,,,,,,,,
32,"Amino acid Mixure, 4 mM",0.153125,71,,,,,,,,,,,,,,,,,,,,,,,,
33,"Amino acid Mixure, 4 mM",0.250347,34,,,,,,,,,,,,,,,,,,,,,,,,
34,"Amino acid Mixure, 4 mM",0.240625,20,,,,,,,,,,,,,,,,,,,,,,,,
35,"Amino acid Mixure, 4 mM",0.165278,20,,,,,,,,,,,,,,,,,,,,,,,,
36,"Amino acid Mixure, 4 mM",0.126389,20,,,,,,,,,,,,,,,,,,,,,,,,
37,"Amino acid Mixure, 4 mM",0.150694,29,,,,,,,,,,,,,,,,,,,,,,,,
38,"Amino acid Mixure, 4 mM",0.104514,20,,,,,,,,,,,,,,,,,,,,,,,,
39,"Amino acid Mixure, 4 mM",0.106944,20,,,,,,,,,,,,,,,,,,,,,,,,
40,"Amino acid Mixure, 4 mM",0.128819,20,,,,,,,,,,,,,,,,,,,,,,,,
41,"Amino acid Mixure, 4 mM",0.121528,30,,,,,,,,,,,,,,,,,,,,,,,,
42,"Amino acid Mixure, 4 mM",0.138542,29,,,,,,,,,,,,,,,,,,,,,,,,
43,"Amino acid Mixure, 4 mM",0.126389,27,,,,,,,,,,,,,,,,,,,,,,,,
44,"Amino acid Mixure, 4 mM",0.089931,36,,,,,,,,,,,,,,,,,,,,,,,,
45,"Amino acid Mixure, 4 mM",0.099653,20,,,,,,,,,,,,,,,,,,,,,,,,
46,"Amino acid Mixure, 4 mM",0.133681,30,,,,,,,,,,,,,,,,,,,,,,,,
47,"Amino acid Mixure, 4 mM",0.143403,20,,,,,,,,,,,,,,,,,,,,,,,,
48,"Amino acid Mixure, 4 mM",0.109375,20,,,,,,,,,,,,,,,,,,,,,,,,
49,"Amino acid Mixure, 4 mM",0.102083,38,,,,,,,,,,,,,,,,,,,,,,,,
50,"Amino acid Mixure, 4 mM",0.128819,32,,,,,,,,,,,,,,,,,,,,,,,,
51,"Amino acid Mixure, 4 mM",0.140972,34,,,,,,,,,,,,,,,,,,,,,,,,
52,"Amino acid Mixure, 4 mM",0.140972,38,,,,,,,,,,,,,,,,,,,,,,,,
53,"Amino acid Mixure, 4 mM",0.114236,21,,,,,,,,,,,,,,,,,,,,,,,,
54,"Amino acid Mixure, 4 mM",0.106944,21,,,,,,,,,,,,,,,,,,,,,,,,
55,"Amino acid Mixure, 4 mM",0.119097,20,,,,,,,,,,,,,,,,,,,,,,,,
56,"Amino acid Mixure, 4 mM",0.104514,27,,,,,,,,,,,,,,,,,,,,,,,,
57,"Amino acid Mixure, 4 mM",0.097222,34,,,,,,,,,,,,,,,,,,,,,,,,
58,"Amino acid Mixure, 4 mM",0.072917,21,,,,,,,,,,,,,,,,,,,,,,,,
59,"Amino acid Mixure, 4 mM",0.0875,31,,,,,,,,,,,,,,,,,,,,,,,,
60,"Amino acid Mixure, 4 mM",0.119097,33,,,,,,,,,,,,,,,,,,,,,,,,
61,"Amino acid Mixure, 4 mM + Glucose, 3 mM",0.126389,20,,,,,,,,,,,,,,,,,,,,,,,,
62,"Amino acid Mixure, 4 mM + Glucose, 3 mM",0.092361,20,,,,,,,,,,,,,,,,,,,,,,,,
63,"Amino acid Mixure, 4 mM + Glucose, 3 mM",0.121528,20,,,,,,,,,,,,,,,,,,,,,,,,
64,"Amino acid Mixure, 4 mM + Glucose, 3 mM",0.196875,20,,,,,,,,,,,,,,,,,,,,,,,,
65,"Amino acid Mixure, 4 mM + Glucose, 3 mM",0.211458,37,,,,,,,,,,,,,,,,,,,,,,,,
66,"Amino acid Mixure, 4 mM + Glucose, 3 mM",0.184722,36,,,,,,,,,,,,,,,,,,,,,,,,
67,"Amino acid Mixure, 4 mM + Glucose, 3 mM",0.126389,26,,,,,,,,,,,,,,,,,,,,,,,,
68,"Amino acid Mixure, 4 mM + Glucose, 3 mM",0.097222,28,,,,,,,,,,,,,,,,,,,,,,,,
69,"Amino acid Mixure, 4 mM + Glucose, 3 mM",0.0875,31,,,,,,,,,,,,,,,,,,,,,,,,
70,"Amino acid Mixure, 4 mM + Glucose, 3 mM",0.119097,32,,,,,,,,,,,,,,,,,,,,,,,,
71,"Amino acid Mixure, 4 mM + Glucose, 3 mM",0.157986,39,,,,,,,,,,,,,,,,,,,,,,,,
72,"Amino acid Mixure, 4 mM + Glucose, 3 mM",0.138542,36,,,,,,,,,,,,,,,,,,,,,,,,
73,"Amino acid Mixure, 4 mM + Glucose, 3 mM",0.160417,28,,,,,,,,,,,,,,,,,,,,,,,,
74,"Amino acid Mixure, 4 mM + Glucose, 3 mM",0.106944,39,,,,,,,,,,,,,,,,,,,,,,,,
75,"Amino acid Mixure, 4 mM + Glucose, 3 mM",0.116667,31,,,,,,,,,,,,,,,,,,,,,,,,
76,"Amino acid Mixure, 4 mM + Glucose, 3 mM",0.13125,29,,,,,,,,,,,,,,,,,,,,,,,,
77,"Amino acid Mixure, 4 mM + Glucose, 3 mM",0.155556,20,,,,,,,,,,,,,,,,,,,,,,,,
78,"Amino acid Mixure, 4 mM + Glucose, 3 mM",0.13125,20,,,,,,,,,,,,,,,,,,,,,,,,
79,"Amino acid Mixure, 4 mM + Glucose, 3 mM",0.126389,29,,,,,,,,,,,,,,,,,,,,,,,,
80,"Amino acid Mixure, 4 mM + Glucose, 3 mM",0.111806,21,,,,,,,,,,,,,,,,,,,,,,,,
81,"Amino acid Mixure, 4 mM + Glucose, 16.7 mM",0.13125,22,,,,,,,,,,,,,,,,,,,,,,,,
82,"Amino acid Mixure, 4 mM + Glucose, 16.7 mM",0.104167,20,,,,,,,,,,,,,,,,,,,,,,,,
83,"Amino acid Mixure, 4 mM + Glucose, 16.7 mM",0.713542,20,,,,,,,,,,,,,,,,,,,,,,,,
84,"Amino acid Mixure, 4 mM + Glucose, 16.7 mM",2.15625,20,,,,,,,,,,,,,,,,,,,,,,,,
85,"Amino acid Mixure, 4 mM + Glucose, 16.7 mM",2.177083,20,,,,,,,,,,,,,,,,,,,,,,,,
86,"Amino acid Mixure, 4 mM + Glucose, 16.7 mM",1.166667,20,,,,,,,,,,,,,,,,,,,,,,,,
87,"Amino acid Mixure, 4 mM + Glucose, 16.7 mM",1.03125,27,,,,,,,,,,,,,,,,,,,,,,,,
88,"Amino acid Mixure, 4 mM + Glucose, 16.7 mM",0.895833,20,,,,,,,,,,,,,,,,,,,,,,,,
89,"Amino acid Mixure, 4 mM + Glucose, 16.7 mM",0.895833,20,,,,,,,,,,,,,,,,,,,,,,,,
90,"Amino acid Mixure, 4 mM + Glucose, 16.7 mM",1.005208,20,,,,,,,,,,,,,,,,,,,,,,,,
91,"Amino acid Mixure, 4 mM + Glucose, 16.7 mM",1.015625,20,,,,,,,,,,,,,,,,,,,,,,,,
92,"Amino acid Mixure, 4 mM + Glucose, 16.7 mM",0.958333,24,,,,,,,,,,,,,,,,,,,,,,,,
93,"Amino acid Mixure, 4 mM + Glucose, 16.7 mM",1.010417,20,,,,,,,,,,,,,,,,,,,,,,,,
94,"Amino acid Mixure, 4 mM + Glucose, 16.7 mM",1.09375,20,,,,,,,,,,,,,,,,,,,,,,,,
95,"Amino acid Mixure, 4 mM + Glucose, 16.7 mM",1.109375,20,,,,,,,,,,,,,,,,,,,,,,,,
96,"Amino acid Mixure, 4 mM + Glucose, 16.7 mM",1.203125,20,,,,,,,,,,,,,,,,,,,,,,,,
97,"Amino acid Mixure, 4 mM + Glucose, 16.7 mM",1.171875,40,,,,,,,,,,,,,,,,,,,,,,,,
98,"Amino acid Mixure, 4 mM + Glucose, 16.7 mM",0.932292,20,,,,,,,,,,,,,,,,,,,,,,,,
99,"Amino acid Mixure, 4 mM + Glucose, 16.7 mM",1.15625,20,,,,,,,,,,,,,,,,,,,,,,,,
100,"Amino acid Mixure, 4 mM + Glucose, 16.7 mM",1.317708,20,,,,,,,,,,,,,,,,,,,,,,,,
101,"Amino acid Mixure, 4 mM + Glucose, 16.7 mM + IBMX, 0.1 mM",1.255208,22,,,,,,,,,,,,,,,,,,,,,,,,
102,"Amino acid Mixure, 4 mM + Glucose, 16.7 mM + IBMX, 0.1 mM",1.546875,25,,,,,,,,,,,,,,,,,,,,,,,,
103,"Amino acid Mixure, 4 mM + Glucose, 16.7 mM + IBMX, 0.1 mM",2.317708,20,,,,,,,,,,,,,,,,,,,,,,,,
104,"Amino acid Mixure, 4 mM + Glucose, 16.7 mM + IBMX, 0.1 mM",2.536458,29,,,,,,,,,,,,,,,,,,,,,,,,
105,"Amino acid Mixure, 4 mM + Glucose, 16.7 mM + IBMX, 0.1 mM",3.583333,36,,,,,,,,,,,,,,,,,,,,,,,,
106,"Amino acid Mixure, 4 mM + Glucose, 16.7 mM + IBMX, 0.1 mM",4.833333,42,,,,,,,,,,,,,,,,,,,,,,,,
107,"Amino acid Mixure, 4 mM + Glucose, 16.7 mM + IBMX, 0.1 mM",4.473958,53,,,,,,,,,,,,,,,,,,,,,,,,
108,"Amino acid Mixure, 4 mM + Glucose, 16.7 mM + IBMX, 0.1 mM",4.744792,54,,,,,,,,,,,,,,,,,,,,,,,,
109,"Amino acid Mixure, 4 mM + Glucose, 16.7 mM + IBMX, 0.1 mM",4.09375,74,,,,,,,,,,,,,,,,,,,,,,,,
110,"Amino acid Mixure, 4 mM + Glucose, 16.7 mM + IBMX, 0.1 mM",3.411458,55,,,,,,,,,,,,,,,,,,,,,,,,
111,"Amino acid Mixure, 4 mM + Glucose, 16.7 mM + IBMX, 0.1 mM",4.213542,68,,,,,,,,,,,,,,,,,,,,,,,,
112,"Amino acid Mixure, 4 mM + Glucose, 16.7 mM + IBMX, 0.1 mM",3.520833,32,,,,,,,,,,,,,,,,,,,,,,,,
113,"Amino acid Mixure, 4 mM + Glucose, 16.7 mM + IBMX, 0.1 mM",3.9375,79,,,,,,,,,,,,,,,,,,,,,,,,
114,"Amino acid Mixure, 4 mM + Glucose, 16.7 mM + IBMX, 0.1 mM",4.46875,58,,,,,,,,,,,,,,,,,,,,,,,,
115,"Amino acid Mixure, 4 mM + Glucose, 16.7 mM + IBMX, 0.1 mM",4.255208,57,,,,,,,,,,,,,,,,,,,,,,,,
116,"Amino acid Mixure, 4 mM + Glucose, 16.7 mM + IBMX, 0.1 mM",3.682292,76,,,,,,,,,,,,,,,,,,,,,,,,
117,"Amino acid Mixure, 4 mM + Glucose, 16.7 mM + IBMX, 0.1 mM",3.864583,94,,,,,,,,,,,,,,,,,,,,,,,,
118,"Amino acid Mixure, 4 mM + Glucose, 16.7 mM + IBMX, 0.1 mM",3.838542,63,,,,,,,,,,,,,,,,,,,,,,,,
119,"Amino acid Mixure, 4 mM + Glucose, 16.7 mM + IBMX, 0.1 mM",4.28125,83,,,,,,,,,,,,,,,,,,,,,,,,
120,"Amino acid Mixure, 4 mM + Glucose, 16.7 mM + IBMX, 0.1 mM",4.098958,98,,,,,,,,,,,,,,,,,,,,,,,,
121,No Stimuli,3.807292,63,,,,,,,,,,,,,,,,,,,,,,,,
122,No Stimuli,3.802083,55,,,,,,,,,,,,,,,,,,,,,,,,
123,No Stimuli,2.947917,45,,,,,,,,,,,,,,,,,,,,,,,,
124,No Stimuli,1.144792,41,,,,,,,,,,,,,,,,,,,,,,,,
125,No Stimuli,0.639236,25,,,,,,,,,,,,,,,,,,,,,,,,
126,No Stimuli,0.420486,46,,,,,,,,,,,,,,,,,,,,,,,,
127,No Stimuli,0.369444,52,,,,,,,,,,,,,,,,,,,,,,,,
128,No Stimuli,0.303819,31,,,,,,,,,,,,,,,,,,,,,,,,
129,No Stimuli,0.250347,34,,,,,,,,,,,,,,,,,,,,,,,,
130,No Stimuli,0.252778,42,,,,,,,,,,,,,,,,,,,,,,,,
131,No Stimuli,0.247917,53,,,,,,,,,,,,,,,,,,,,,,,,
132,No Stimuli,0.221181,44,,,,,,,,,,,,,,,,,,,,,,,,
133,No Stimuli,0.230903,36,,,,,,,,,,,,,,,,,,,,,,,,
134,No Stimuli,0.170139,41,,,,,,,,,,,,,,,,,,,,,,,,
135,No Stimuli,0.157986,37,,,,,,,,,,,,,,,,,,,,,,,,
136,No Stimuli,0.179861,36,,,,,,,,,,,,,,,,,,,,,,,,
137,No Stimuli,0.143403,23,,,,,,,,,,,,,,,,,,,,,,,,
138,No Stimuli,0.162847,21,,,,,,,,,,,,,,,,,,,,,,,,
139,No Stimuli,0.179861,47,,,,,,,,,,,,,,,,,,,,,,,,
140,No Stimuli,0.145833,64,,,,,,,,,,,,,,,,,,,,,,,,
141,"KCl, 30 mM",0.388889,81,,,,,,,,,,,,,,,,,,,,,,,,
142,"KCl, 30 mM",3.015625,80,,,,,,,,,,,,,,,,,,,,,,,,
143,"KCl, 30 mM",1.994792,84,,,,,,,,,,,,,,,,,,,,,,,,
144,"KCl, 30 mM",1.322917,74,,,,,,,,,,,,,,,,,,,,,,,,
145,"KCl, 30 mM",0.989583,59,,,,,,,,,,,,,,,,,,,,,,,,
146,"KCl, 30 mM",0.692708,73,,,,,,,,,,,,,,,,,,,,,,,,
147,"KCl, 30 mM",0.5625,50,,,,,,,,,,,,,,,,,,,,,,,,
148,"KCl, 30 mM",0.604167,60,,,,,,,,,,,,,,,,,,,,,,,,
149,"KCl, 30 mM",0.479167,70,,,,,,,,,,,,,,,,,,,,,,,,
150,"KCl, 30 mM",0.5625,66,,,,,,,,,,,,,,,,,,,,,,,,
151,"KCl, 30 mM",0.578125,57,,,,,,,,,,,,,,,,,,,,,,,,
152,"KCl, 30 mM",0.541667,70,,,,,,,,,,,,,,,,,,,,,,,,
153,"KCl, 30 mM",0.53125,55,,,,,,,,,,,,,,,,,,,,,,,,
154,"KCl, 30 mM",0.536458,61,,,,,,,,,,,,,,,,,,,,,,,,
155,"KCl, 30 mM",0.661458,67,,,,,,,,,,,,,,,,,,,,,,,,
156,"KCl, 30 mM",0.708333,74,,,,,,,,,,,,,,,,,,,,,,,,
157,"KCl, 30 mM",0.619792,85,,,,,,,,,,,,,,,,,,,,,,,,
158,"KCl, 30 mM",0.546875,72,,,,,,,,,,,,,,,,,,,,,,,,
159,"KCl, 30 mM",0.619792,,,,,,,,,,,,,,,,,,,,,,,,,
