TIME,STIMULUS,INSULIN_PER_100_ISLETS,GLUCAGON_PER_100_ISLETS,ISLET_NUMBER,DNA_CONTENT,INSULIN_CONTENT,GLUCAGON_CONTENT,I_AUC(aam),I_AUC(Glu3),I_AUC(G16.7),I_AUC(ibmx),I_AUC(kcl),I_SI(aam),I_SI(Glu3),I_SI(G16.7),I_SI(ibmx),I_SI(kcl),G_AUC(aam),G_AUC(Glu3),G_AUC(G16.7),G_AUC(ibmx),G_AUC(kcl),G_SI(aam),G_SI(Glu3),G_SI(G16.7),G_SI(ibmx),G_SI(kcl),,,,
20,No stimuli,0.205556,4,500,,16.9,1296,-1.7241616,1.036807,2.897218,9.212498,2.491667,1.226505235,2.590000058,3.967035213,3.754097703,7.273501538,159.92,-139,-5.2,443.4,424.12,3.853503185,0.281690141,0.442477876,5.152542373,16.94915254,,,,
21,No stimuli,0.190972,4.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,No stimuli,0.172222,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,No stimuli,0.175,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,No stimuli,0.188194,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,No stimuli,0.179861,7.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,No stimuli,0.140972,9.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,No stimuli,0.138194,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,No stimuli,0.145139,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,No stimuli,0.134722,6.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,Amino acid mixture (4 mM),0.144444,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,Amino acid mixture (4 mM),0.139583,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,Amino acid mixture (4 mM),0.161806,5.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,Amino acid mixture (4 mM),0.18125,8.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,Amino acid mixture (4 mM),0.154167,24.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,Amino acid mixture (4 mM),0.120139,19.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,Amino acid mixture (4 mM),0.111111,10.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,Amino acid mixture (4 mM),0.090972,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,Amino acid mixture (4 mM),0.080556,7.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,Amino acid mixture (4 mM),0.089583,9.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,Amino acid mixture (4 mM),0.086111,5.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,Amino acid mixture (4 mM),0.08125,6.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,Amino acid mixture (4 mM),0.095139,6.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,Amino acid mixture (4 mM),0.079167,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,Amino acid mixture (4 mM),0.044444,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,Amino acid mixture (4 mM),0.074306,11.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,Amino acid mixture (4 mM),0.076389,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,Amino acid mixture (4 mM),0.073611,9.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,Amino acid mixture (4 mM),0.08125,10.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,Amino acid mixture (4 mM),0.089583,14.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,Amino acid mixture (4 mM),0.061111,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,Amino acid mixture (4 mM),0.078472,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,Amino acid mixture (4 mM),0.06875,14.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,Amino acid mixture (4 mM),0.072917,11.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,Amino acid mixture (4 mM),0.083333,13.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,Amino acid mixture (4 mM),0.090278,13.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,
