TIME,STIMULUS,INSULIN_PER_100_ISLETS,GLUCAGON_PER_100_ISLETS,ISLET_NUMBER,DNA_CONTENT,INSULIN_CONTENT,GLUCAGON_CONTENT,I_AUC(aam),I_SI(aam),G_AUC(aam),G_SI(aam),I_AUC(Glu3),I_SI(Glu3),G_AUC(Glu3),G_SI(Glu3),I_AUC(G16.7),I_SI(G16.7),G_AUC(G16.7),G_SI(G16.7),I_AUC(ibmx),I_SI(ibmx),G_AUC(ibmx),G_SI(ibmx),I_AUC(kcl),I_SI(kcl),G_AUC(kcl),G_SI(kcl)
20,No stimuli,0.384028,10.8,1000,1.78,43.19,1184,0.317909,6.650823589,427.08,4.082125604,1.82049,3.407648403,-47.9,0.194552529,37.04097,27.03059263,-241.4,0.286368843,27.067705,1.997214342,648.8,4.756756757,23.4222228,84.64282867,369.76,10.01821494
21,No stimuli,0.345139,11.4,,,,,,,,,,,,,,,,,,,,,,,,
22,No stimuli,0.311111,12.9,,,,,,,,,,,,,,,,,,,,,,,,
23,No stimuli,0.313542,16.2,,,,,,,,,,,,,,,,,,,,,,,,
24,No stimuli,0.274653,15.6,,,,,,,,,,,,,,,,,,,,,,,,
25,No stimuli,0.235764,8.1,,,,,,,,,,,,,,,,,,,,,,,,
26,No stimuli,0.21875,11.7,,,,,,,,,,,,,,,,,,,,,,,,
27,No stimuli,0.204167,15.3,,,,,,,,,,,,,,,,,,,,,,,,
28,No stimuli,0.187153,20.7,,,,,,,,,,,,,,,,,,,,,,,,
29,No stimuli,0.177431,6.3,,,,,,,,,,,,,,,,,,,,,,,,
30,Amino acid mixture (4 mM),0.39375,6,,,,,,,,,,,,,,,,,,,,,,,,
31,Amino acid mixture (4 mM),0.160417,8.1,,,,,,,,,,,,,,,,,,,,,,,,
32,Amino acid mixture (4 mM),0.627083,30,,,,,,,,,,,,,,,,,,,,,,,,
33,Amino acid mixture (4 mM),1.361111,47.4,,,,,,,,,,,,,,,,,,,,,,,,
34,Amino acid mixture (4 mM),0.734028,50.7,,,,,,,,,,,,,,,,,,,,,,,,
35,Amino acid mixture (4 mM),0.396181,36.6,,,,,,,,,,,,,,,,,,,,,,,,
36,Amino acid mixture (4 mM),0.250347,22.2,,,,,,,,,,,,,,,,,,,,,,,,
37,Amino acid mixture (4 mM),0.211458,20.7,,,,,,,,,,,,,,,,,,,,,,,,
38,Amino acid mixture (4 mM),0.182292,12.3,,,,,,,,,,,,,,,,,,,,,,,,
39,Amino acid mixture (4 mM),0.160417,19.2,,,,,,,,,,,,,,,,,,,,,,,,
40,Amino acid mixture (4 mM),0.155556,15.3,,,,,,,,,,,,,,,,,,,,,,,,
41,Amino acid mixture (4 mM),0.138542,21.6,,,,,,,,,,,,,,,,,,,,,,,,
42,Amino acid mixture (4 mM),0.116667,15.9,,,,,,,,,,,,,,,,,,,,,,,,
43,Amino acid mixture (4 mM),0.114236,20.1,,,,,,,,,,,,,,,,,,,,,,,,
44,Amino acid mixture (4 mM),0.133681,24.3,,,,,,,,,,,,,,,,,,,,,,,,
45,Amino acid mixture (4 mM),0.138542,21.6,,,,,,,,,,,,,,,,,,,,,,,,
46,Amino acid mixture (4 mM),0.114236,25.2,,,,,,,,,,,,,,,,,,,,,,,,
47,Amino acid mixture (4 mM),0.104514,31.8,,,,,,,,,,,,,,,,,,,,,,,,
48,Amino acid mixture (4 mM),0.102083,24,,,,,,,,,,,,,,,,,,,,,,,,
49,Amino acid mixture (4 mM),0.102083,24.6,,,,,,,,,,,,,,,,,,,,,,,,
50,Amino acid mixture (4 mM),0.102083,26.7,,,,,,,,,,,,,,,,,,,,,,,,
51,Amino acid mixture (4 mM),0.106944,31.2,,,,,,,,,,,,,,,,,,,,,,,,
52,Amino acid mixture (4 mM),0.092361,36.9,,,,,,,,,,,,,,,,,,,,,,,,
53,Amino acid mixture (4 mM),0.085069,25.8,,,,,,,,,,,,,,,,,,,,,,,,
54,Amino acid mixture (4 mM),0.104514,29.1,,,,,,,,,,,,,,,,,,,,,,,,
55,Amino acid mixture (4 mM),0.092361,30.6,,,,,,,,,,,,,,,,,,,,,,,,
56,Amino acid mixture (4 mM),0.085069,28.2,,,,,,,,,,,,,,,,,,,,,,,,
57,Amino acid mixture (4 mM),0.063194,34.8,,,,,,,,,,,,,,,,,,,,,,,,
58,Amino acid mixture (4 mM),0.085069,28.5,,,,,,,,,,,,,,,,,,,,,,,,
59,Amino acid mixture (4 mM),0.077778,28.8,,,,,,,,,,,,,,,,,,,,,,,,
60,Amino acid mixture (4 mM),0.070486,33.9,,,,,,,,,,,,,,,,,,,,,,,,
61,Amino acid mixture (4 mM) + Glucose (3 mM),0.092361,31.2,,,,,,,,,,,,,,,,,,,,,,,,
62,Amino acid mixture (4 mM) + Glucose (3 mM),0.0875,6,,,,,,,,,,,,,,,,,,,,,,,,
63,Amino acid mixture (4 mM) + Glucose (3 mM),0.092361,6,,,,,,,,,,,,,,,,,,,,,,,,
64,Amino acid mixture (4 mM) + Glucose (3 mM),0.119097,10.5,,,,,,,,,,,,,,,,,,,,,,,,
65,Amino acid mixture (4 mM) + Glucose (3 mM),0.138542,14.1,,,,,,,,,,,,,,,,,,,,,,,,
66,Amino acid mixture (4 mM) + Glucose (3 mM),0.128819,19.2,,,,,,,,,,,,,,,,,,,,,,,,
67,Amino acid mixture (4 mM) + Glucose (3 mM),0.128819,22,,,,,,,,,,,,,,,,,,,,,,,,
68,Amino acid mixture (4 mM) + Glucose (3 mM),0.162847,26.4,,,,,,,,,,,,,,,,,,,,,,,,
69,Amino acid mixture (4 mM) + Glucose (3 mM),0.194444,33,,,,,,,,,,,,,,,,,,,,,,,,
70,Amino acid mixture (4 mM) + Glucose (3 mM),0.21875,37.5,,,,,,,,,,,,,,,,,,,,,,,,
71,Amino acid mixture (4 mM) + Glucose (3 mM),0.260069,35.7,,,,,,,,,,,,,,,,,,,,,,,,
72,Amino acid mixture (4 mM) + Glucose (3 mM),0.230903,36.9,,,,,,,,,,,,,,,,,,,,,,,,
73,Amino acid mixture (4 mM) + Glucose (3 mM),0.228472,40.5,,,,,,,,,,,,,,,,,,,,,,,,
